CPD_ID,DO_CHEMISTRY,CHEMISTRY_COMMENT,MW,MW_DES,ALOGP,ALOGP_DES,HBD,HBD_DES,HBA,HBA_DES,PSA,PSA_DES,ROTB,ROTB_DES,AROM,AROM_DES,ALERTS,ALERTS_DES,UNWEIGHTED_QED,QED
14452,NO,too simple,161.20373,0.253,2.113,0.967,2,0.792,2,0.93,54.7,0.999,0,0.395,2,0.938,0,0.842,0.698,0.621
14453,NO,too simple,161.20373,0.253,2.113,0.967,2,0.792,2,0.93,54.7,0.999,0,0.395,2,0.938,0,0.842,0.698,0.621
14454,NO,too simple,262.45338,0.863,6.939,0.05,0,0.592,0,0.028,3.88,0.276,11,0.151,1,0.827,2,0.241,0.223,0.3
14455,NO,too simple,222.30494,0.592,4.18,0.809,0,0.592,0,0.028,3.88,0.276,3,0.993,2,0.938,2,0.241,0.387,0.542
14456,NO,too simple,189.06182,0.383,3.38,0.974,0,0.592,0,0.028,3.88,0.276,2,0.87,1,0.827,2,0.241,0.363,0.496
14457,NO,too simple,225.3073,0.613,2.441,0.991,1,0.987,3,0.985,77.62,0.892,6,0.689,1,0.827,1,0.64,0.814,0.755
14458,NO,too simple,251.09432,0.792,4.302,0.767,0,0.592,0,0.028,0,0.218,1,0.637,2,0.938,0,0.842,0.428,0.708
14459,NO,too simple,225.24264,0.613,3.843,0.901,0,0.592,2,0.93,45.82,0.986,1,0.637,2,0.938,2,0.241,0.675,0.546
14460,NO,too simple,562.88027,0.085,5.066,0.44,4,0.147,8,0.191,109.44,0.589,20,0.006,0,0.472,2,0.241,0.16,0.12
14461,NO,too simple,298.37794,0.995,3.463,0.965,3,0.379,4,0.887,95.5,0.733,11,0.151,0,0.472,2,0.241,0.503,0.402
14462,NO,too simple,478.91959,0.225,15.882,0.024,0,0.592,0,0.028,0,0.218,31,0,0,0.472,1,0.64,0.077,0.087
14463,NO,too simple,311.44114,0.998,4.035,0.853,1,0.987,3,0.985,54.4,1,4,0.97,2,0.938,2,0.241,0.808,0.685
14464,NO,too simple,274.15578,0.924,4.181,0.809,0,0.592,1,0.233,12.36,0.44,3,0.993,2,0.938,1,0.64,0.637,0.765
14465,NO,too simple,308.47872,1,6.074,0.132,1,0.987,3,0.985,62.6,0.98,12,0.107,1,0.827,1,0.64,0.539,0.476
14466,NO,too simple,338.50469,0.925,5.188,0.388,0,0.592,3,0.985,62.58,0.98,13,0.076,1,0.827,2,0.241,0.486,0.367
14467,NO,too simple,127.20736,0.15,0.919,0.752,1,0.987,1,0.233,54.26,1,2,0.87,1,0.827,0,0.842,0.595,0.631
14468,NO,too simple,127.20736,0.15,0.919,0.752,1,0.987,1,0.233,54.26,1,2,0.87,1,0.827,0,0.842,0.595,0.631
